question,answer
"Ein Händler möchte zwischen zwei Kaufplänen wählen: Schmuck im Wert von 5.000 US-Dollar oder elektronische Geräte im Wert von 8.000 US-Dollar. Sein Finanzberater spekuliert, dass der Schmuckmarkt um 2,5% steigen wird, während der Markt für elektronische Geräte im selben Monat um 1,2% steigen wird. Wenn der Händler versucht, den Gewinn am Ende dieses Monats zu maximieren, indem er eine Wahl trifft, wie viel Gewinn wäre das?","Wenn er Schmuck kauft, wird er einen Gewinn von 2,5% machen, was $5000*(2,5/100) = $<<5000*(2.5/100)=125>> 125 Wenn er elektronische Geräte kauft, wird er einen Gewinn von 1,2% machen, was $8000*(1,2/100) = $<<8000*(1.2/100)=96>> 96 Wenn er den Gewinn maximieren will, da $125 > $96, wird er sich entscheiden, Schmuck zu kaufen, wodurch er einen Gewinn von $<<125=125>> 125 #### 125 macht"
"Zwei Züge fahren gleichzeitig aus San Rafael. Sie reisen beide 80 Meilen nach Westen. Am nächsten Tag reisen sie 150 Meilen nach Norden. Was ist die Entfernung, die jeder Zug in den zwei Tagen zurückgelegt hat?","Am ersten Tag beförderten die Züge 2 Züge * 80 Meilen/Zug = <<2*80=160>> 160 Meilen zusammen. Sie belegten auch 150 Meilen/Zug * 2 Züge = <<150*2=300>> 300 Meilen zusammen am zweiten Tag. Die kombinierte Strecke, die die beiden Züge in den zwei Tagen zurückgelegt haben, beträgt 300 Meilen + 160 Meilen = <<300+160=460>> 460 Meilen Die durchschnittliche Strecke für die beiden Tage beträgt 460 Meilen / 2 Züge = <<460/2=230>> 230 Meilen / Zug #### 230"
"Jill bekommt 20 Dollar pro Stunde als Lehrerin und 30 Dollar als Cheerleading-Trainerin. Wenn sie 50 Wochen im Jahr arbeitet, 35 Stunden pro Woche als Lehrerin und 15 Stunden pro Woche als Trainerin, was ist ihr Jahresgehalt?","Finden Sie zunächst den Gesamtbetrag, den Jill pro Woche im Unterricht verdient: $ 20 / Stunde * 35 Stunden / Woche = $ <<20*35=700>> 700 / Woche Dann finden Sie den Gesamtbetrag, den Jill pro Woche im Coaching verdient: $ 30 / Stunde * 15 Stunden / Woche = $ <<30*15=450>> 450 / Woche Dann addieren Sie diese beiden Beträge, um den Gesamtbetrag zu finden, den Jill pro Woche verdient: $ 700 / Woche + $ 450 / Woche = $ <<700+450=1150>> 1150 / Woche Dann multiplizieren Sie diese Zahl mit der Anzahl der Wochen, die Jill in einem Jahr arbeitet, um ihr Jahresgehalt zu finden: $ 1150 / Woche * 50 Wochen / Jahr = $ <<1150*50=57500>> 57.500 #### 57500"
Claire macht jeden Morgen ein 3 Eier Omelett zum Frühstück. Wie viele Dutzend Eier wird sie in 4 Wochen essen?,Sie isst 3 Eier jeden Tag und es gibt 7 Tage in einer Woche also isst sie 3*7 = <<3*7=21>> 21 Eier pro Woche Nach 4 Wochen wird sie 4*21 = <<4*21=84>> 84 Eier gegessen haben Es gibt 12 Eier in 1 Dutzend und sie wird 84 Eier essen das ist 84/12 = <<84/12=7>> 7 Dutzend Eier #### 7
"Marissa ist auf einem 12 Meilen langen Wanderweg. Sie hat eine Stunde gebraucht, um die ersten 4 Meilen zu laufen, dann eine weitere Stunde, um die nächsten zwei Meilen zu laufen. Wenn sie eine Durchschnittsgeschwindigkeit von 4 Meilen pro Stunde haben will, wie schnell (in Meilen pro Stunde) muss sie dann die verbleibende Strecke zurücklegen?","Finden Sie zunächst heraus, wie viele Stunden es dauert, einen 12-Meilen-Pfad mit 4 Meilen pro Stunde zu wandern, indem Sie die Entfernung durch die Geschwindigkeit dividieren: 12 Meilen / 4 Meilen pro Stunde = <<12/4=3>> 3 Stunden Dann subtrahieren Sie die Zeit, die Marissa bereits zu Fuß verbracht hat, um herauszufinden, wie viel Zeit sie noch hat: 3 Stunden - 1 Stunde - 1 Stunde = <<3-1-1=1>> 1 Stunde Finden Sie nun heraus, wie viel Entfernung sie noch hat, indem Sie die Entfernung, die sie bereits zurückgelegt hat, von der gesamten Entfernung subtrahieren: 12 Meilen - 4 Meilen - 2 Meilen = <<12-4-2=6>> 6 Meilen Jetzt teilen Sie die verbleibende Entfernung durch die verbleibende Zeit, um herauszufinden, wie schnell Marissa in Meilen pro Stunde reisen muss: 6 Meilen / 1 Stunde = <<6/1=6>> 6 Meilen pro Stunde #### 6"
"Ich habe 10 Liter oranges Getränk, das zu zwei Dritteln aus Wasser besteht, und ich möchte es zu 15 Liter Ananasgetränk hinzufügen, das zu drei Fünfteln aus Wasser besteht. Aber während ich es gieße, vergieße ich einen Liter des orangefarbenen Getränks. Wie viel Wasser ist in den verbleibenden 24 Litern?","Es sind 15 x 3/5 = <<15*3/5=9>> 9 Liter Wasser aus dem 15 Liter Ananas Getränk. Nachdem 1 Liter Orangengetränk verschüttet worden war, blieben 10 - 1 = <<10-1=9>> 9 Liter Orangengetränk übrig. Von den 9 Litern sind 9 x 2/3 = <<9*2/3=6>> 6 Liter Wasser. Somit gibt es insgesamt 9 + 6 = <<9+6=15>> 15 Liter Wasser von den 24 Litern. #### 15"
"Raymond und Samantha sind Cousins. Raymond wurde 6 Jahre vor Samantha geboren. Raymond hatte einen Sohn im Alter von 23 Jahren. Wenn Samantha jetzt 31 ist, wie viele Jahre ist es her, dass Raymonds Sohn geboren wurde?","Als Raymonds Sohn geboren wurde, war Samantha 23 - 6 = <<23-6=17>> 17 Jahre alt. Somit sind 31 - 17 = <<31-17=14>> 14 Jahre seit der Geburt von Raymonds Sohn vergangen. #### 14"
Billy verkauft DVDs. Er hat am Dienstag acht Kunden. Seine ersten 3 Kunden kaufen jeweils eine DVD. Seine nächsten 2 Kunden kaufen jeweils 2 DVDs. Seine letzten 3 Kunden kaufen keine DVDs. Wie viele DVDs hat Billy am Dienstag verkauft?,Seine ersten 3 Kunden kaufen 3 * 1 = <<3*1=3>> 3 DVDs. Seine nächsten 2 kaufen 2 * 2 = <<2*2=4>> 4 DVDs. Er verkauft insgesamt 3 + 4 + 0 = <<3+4+0=7>> 7 DVDs. #### 7
"Eine Kerze schmilzt um zwei Zentimeter pro Stunde, die sie brennt. Wie viele Zentimeter wird eine Kerze kürzer, wenn sie von 13.00 bis 17.00 Uhr brennt?",Die Kerze brennt 5 - 1 = <<5-1=4>> 4 Stunden. Somit wird die Kerze 2 * 4 = <<2*4=8>> 8 Zentimeter kürzer sein. #### 8
"Kyle hat das letztjährige Bestsellerbuch für 19,50 Dollar gekauft. Dies ist mit einem Rabatt von 25% auf den ursprünglichen Preis. Was war der ursprüngliche Preis des Buches?","X ist der ursprüngliche Preis des Buches. Der ermäßigte Preis ist X - X*25% = $19.50. Wenn wir ähnliche Begriffe kombinieren, erhalten wir .75X = $19.50 Wenn wir beide Seiten durch .75 teilen, erhalten wir X = $26. #### 26"
"Marie bestellte eine Hühnermahlzeit, die 12 Dollar kostete, 5 Milchpackungen, die jeweils 3 Dollar kosteten, 4 Äpfel, die jeweils 1,50 Dollar kosteten, und einige Schachteln Pizza. Marie zahlte insgesamt 50 Dollar. Wie viele Kisten Pizza hat Marie bestellt, wenn jede Kiste 8,50 Dollar kostet?","Fünf Packungen Milch kosten 3 x 5 = $ <<3*5=15>> 15. Vier Äpfel kosten $1.50 x 4 = $ <<1.5*4=6>> 6. Die Gesamtkosten für Hühnermehl, Milch und Äpfel betragen $12 + $15 + $6 = $<<12+15+6=33>> 33. Die Pizza-Boxen kosteten also 50 Dollar - 33 Dollar = <<50-33=17>> 17 Dollar. Daher bestellte Marie 2 Schachteln Pizza für 17 US-Dollar/8,50 US-Dollar. #### 2"
"Mishka kaufte 3 Paar Shorts, 3 Paar Hosen und 3 Paar Schuhe. Ein Paar Shorts kostet 16,50 Dollar. Eine Hose kostet 22,50 Dollar und ein Paar Schuhe 42 Dollar. Wie viele Dollar hat Mishka für die Kleidungsstücke ausgegeben?",3 * (16.50 + 22.50 + 42) = $ <<3*(16.50+22.50+42)=243>> 243 Mishka hat $243 für Kleidung ausgegeben. #### 243
Cynthia isst jeden Abend eine Portion Eis. Sie kauft Kartons mit 15 Portionen Eis pro Karton zu einem Preis von 4 Dollar pro Karton. Wie viel wird sie nach 60 Tagen für Eiscreme ausgeben?,"Jeder Behälter Eis hat 15 Portionen und sie isst 1 Portion pro Nacht also nach 60 Tagen wird sie 60/15 = 4 Behälter Eis benötigen Wenn jeder Karton $ 4.00 kostet und sie 4 Behälter benötigt, dann kostet es sie 4 * 4 = $ <<4*4=16.00>> 16.00 #### 16"
Henry machte zwei Haltestellen während seiner 60 Meilen langen Fahrradreise. Erst nach 20 Meilen hat er aufgehört. Sein zweiter Halt war 15 Meilen vor dem Ende der Reise. Wie viele Kilometer hat er zwischen seinem ersten und zweiten Halt zurückgelegt?,Er reiste 20 Meilen + 15 Meilen = <<20+15=35>> 35 Meilen ohne die Entfernung zwischen den Haltestellen zu zählen. Henry reiste 60 Meilen - 35 Meilen = <<60-35=25>> 25 Meilen zwischen seiner ersten und zweiten Haltestelle. #### 25
"Gloria geht Schuhe einkaufen, als sie auf ein Paar Stiefel stößt, die zu ihrem Schuhbudget passen. Sie muss sich jedoch zwischen den Stiefeln und zwei Paar High Heels entscheiden, die zusammen fünf Dollar weniger kosten als die Stiefel. Wenn ein Paar Absätze 33 Dollar kostet und das andere doppelt so viel, wie viele Dollar sind die Stiefel?","Das zweite Paar Heels kostet 33 * 2 = $ <<33*2=66>> 66. Die Absätze zusammen kosten 66 + 33 = $ <<66+33=99>> 99. Die Stiefel kosteten 5 Dollar mehr als beide Paar Fersen zusammen, also kosteten die Stiefel 99 + 5 = 104 Dollar. #### 104"
"Das Verhältnis zwischen Darrells und Allens Alter beträgt 7:11. Wenn sie jetzt 162 Jahre alt sind, wie alt wird Allen in zehn Jahren?","Das Gesamtverhältnis, das ihr Alter repräsentiert, ist 7+11= <<7+11=18>> 18 Da der Bruchteil des Verhältnisses, der Allens Alter repräsentiert, 11/18 ist, ist Allens aktuelles Alter 11/18*162 = <<11/18*162=99>> 99 Wenn Allen derzeit 99 Jahre alt ist, wird er in 10 Jahren 99+10 = <<99+10=109>> 109 Jahre alt sein #### 109"
"Gunter versucht, die Marmeladebohnen in einem Glas zu zählen. Er fragt seine Freunde, wie viele in dem Glas sind. Einer sagt 80. Ein anderer sagt 20 mehr als die Hälfte des ersten. Ein Drittel sagt 25% mehr als der erste. Wie hoch ist ihre durchschnittliche Vermutung?","Die zweite Person hat 60 erraten, weil 20 + (80/2) = <<20+(80/2)=60>> 60 Die zweite Person hat 100 erraten, weil 80 x 1,25 = <<80*1.25=100>> 100 Die gesamte Menge, die erraten wurde, beträgt 240 weil 80 + 60 + 100 = <<80+60+100=240>> 240 Die durchschnittliche Menge, die erraten wurde, beträgt 80 weil 240 / 3 = <<240/3=80>> 80 #### 80"
"John kümmert sich um zehn Hunde. Jeder Hund braucht 0,5 Stunden am Tag, um zu laufen und sich um seine Angelegenheiten zu kümmern. Wie viele Stunden wöchentlich kümmert er sich um Hunde?","Er verbringt 10*5= <<10*.5=5>> 5 Stunden pro Tag Das bedeutet, er verbringt 5*7= <<5*7=35>> 35 Stunden pro Woche #### 35"
Gretchen hat 110 Münzen. Es gibt 30 mehr Goldmünzen als Silbermünzen. Wie viele Goldmünzen hat Gretchen?,Lassen Sie x die Anzahl der Silbermünzen Gretchen hat Gretchen hat x + 30 Goldmünzen. x+x+30=110 2*x=80 x= <<40=40>> 40 Gretchen hat 40+30= <<40+30=70>> 70 Goldmünzen #### 70
"Siobhan hat 2 weniger Juwelen als Aaron. Aaron hat 5 mehr Juwelen als die Hälfte von Raymonds Juwelen. Wenn Raymond 40 Juwelen hat, wie viele Juwelen hat Siobhan?","Die Hälfte von Raymonds Juwelen ist 40/2 = <<40/2=20>> 20 Da Aaron 5 mehr Juwelen hat als die Hälfte von Raymonds Juwelen, hat er 20+5 = <<5+20=25>> 25 Juwelen. Wenn Siobhan 2 weniger Juwelen hat als Aaron, hat er 25-2 = 23 Juwelen. #### 23"
Mike spielt 40 Minuten Pingpong. In den ersten 20 Minuten erzielt er 4 Punkte. In den zweiten 20 Minuten erzielt er 25% mehr Punkte. Wie viele Punkte hat er gesammelt?,Er erzielte 4*25= <<4*.25=1>> 1 Punkt mehr in den zweiten 20 Minuten Also erzielte er 4+1= <<4+1=5>> 5 Punkte in den zweiten 20 Minuten Also insgesamt erzielte er 4+5= <<4+5=9>> 9 Punkte in den 40 Minuten #### 9
Terry isst zwei Joghurt am Tag. Derzeit sind sie im Verkauf bei 4 Joghurt für 5 Dollar. Wie viel gibt er in 30 Tagen für Joghurt aus?,Er isst 2 Joghurt pro Tag also über 30 Tage wird er 2*30 = <<2*30=60>> 60 Joghurt benötigen Der Joghurt wird als 4 Einheiten für $5.00 verkauft und er braucht 60 Joghurt also s 60/4 = <<60/4=15>> 15 4-Packs Jedes 4-Pack ist $5.00 und er braucht 15 4-Packs also wird er $5*15 = $<<5*15=75.00>> 75.00 für Joghurt #### 75 ausgeben
"John plant, all seine Spielsachen zu verkaufen und mit dem Geld Videospiele zu kaufen. Er hat 13 Legosets und verkauft sie für 15 Dollar pro Stück. Er kauft am Ende acht Videospiele für jeweils 20 Dollar und hat noch 5 Dollar übrig. Wie viele Legosätze hat er noch?","Er gab 160 Dollar für Videospiele aus, weil 8 x 20 = <<8*20=160>> 160 Er verdiente 165 Dollar von seinem Verkauf, weil 160 + 5 = <<160+5=165>> 165 Er verkaufte 11 Lego-Sets, weil 11 x 15 = <<11*15=165>> 165 Er hat 2 Sets übrig, weil 13 - 11 = <<13-11=2>> 2 #### 2"
John läuft 60 Meilen pro Woche. Er läuft 3 Tage die Woche. Er läuft 3 Stunden am ersten Tag und halb so viel an den anderen zwei Tagen. Wie schnell läuft er?,"Er hat 7-1 = <<7-1=6>> 6 mögliche Lauftage. Er läuft die Hälfte davon, also läuft er 6/2 = <<6/2=3>> 3 Tage. Also läuft er zwei Tage lang 3/2 = <<3/2=1.5>> 1,5 Stunden. Also läuft er insgesamt 3+1.5+1.5= <<3+1.5+1.5=6>> 6 Stunden. Also läuft er 60/6 = <<60/6=10>> 10 mph. #### 10"
"Dana kann viermal schneller laufen als sie laufen kann, aber sie kann mit einer Geschwindigkeit springen, die nur halb so schnell ist, wie sie laufen kann. Wenn sie mit 3 Meilen pro Stunde springen kann, wie viele Meilen kann sie in sechs Stunden zurücklegen, wenn sie ein Drittel der Zeit mit Laufen und zwei Drittel der Zeit mit Gehen verbringt?","Wenn Dana mit der Hälfte der Geschwindigkeit springen kann, die sie laufen kann, dann kann sie mit 3*2= <<3*2=6>> 6 Meilen pro Stunde laufen. Und da sie mit einer Geschwindigkeit laufen kann, die 4 mal schneller ist, als sie laufen kann, bedeutet das, dass sie mit 6/4=1,5 Meilen pro Stunde laufen kann. Wenn zwei Drittel der Zeit mit Gehen verbracht wird, dann geht sie 6*(2/3) = <<6*(2/3)=4>> 4 Stunden. Wenn ein Drittel der Zeit mit Laufen verbracht wird, dann läuft sie für 6-4 = <<6-4=2>> 2 Stunden. So läuft sie 2 Stunden lang mit 6 Meilen pro Stunde, oder 2*6= <<2*6=12>> 12 Meilen. Sie geht 4 Stunden lang mit 1,5 Meilen pro Stunde, oder 4*1,5= <<4*1.5=6>> 6 Meilen. Insgesamt reist sie also 12+6= <<12+6=18>> 18 Meilen. #### 18"
"Brandons iPhone ist viermal so alt wie Bens. Bens iPhone ist doppelt so alt wie Suzys. Wenn Suzys iPhone ein Jahr alt ist, wie alt ist Brendons iPhone?",Ben's iPhone ist 1*2 = <<1*2=2>> 2 Jahre alt. Brandons iPhone ist 4*2 = <<4*2=8>> 8 Jahre alt. #### 8
"Der große Drache, Perg, saß hoch oben auf dem Berg Farbo und blies Feuer auf alles in einer Entfernung von 1000 Fuß. Polly konnte den goldenen Speer werfen, die einzige bekannte Waffe, die den Drachen schleiten konnte, auf eine Entfernung von 400 Fuß, gut in Reichweite der Flammen des Drachen. Aber wenn Polly den Saphir-Edelstein hielt, konnte sie den Speer dreimal weiter werfen als wenn sie den Edelstein nicht hielt. Wenn sie den Edelstein hielt, wie weit außerhalb der Reichweite der Flammen des Drachen konnte Polly stehen und trotzdem den Drachen mit dem goldenen Speer treffen?","Mit dem Edelstein konnte Polly den Speer dreimal weiter als 400 Fuß werfen, für eine Entfernung von 3*400= <<3*400=1200>> 1200 Fuß. 1200 Fuß ist jenseits der 1000 Fuß Reichweite der Drachenflammen um eine Entfernung von 1200-1000= <<1200-1000=200>> 200 Fuß. #### 200"
"Oma Jones hat fünf Apfelkuchen für das Mittagessen des Feuerwehrmanns gebacken. Sie schnitt jeden Kuchen in acht Stücke und stellte die fünf Kuchen auf den Buffet-Tisch, damit sich die Gäste selbst bedienen konnten. Am Ende des Abends, nachdem die Gäste ihre Kuchenstücke genommen und gegessen hatten, waren noch 14 Kuchenstücke übrig. Wie viele Stücke haben die Gäste genommen?","Um den Abend zu beginnen, gab es 5 Kuchen, jede mit 8 Stücken, das ist 5*8= <<5*8=40>> 40 Stücke Kuchen. Wenn nur 14 übrig blieben, dann waren 40-14= <<40-14=26>> 26 Stücke Kuchen von den Gästen genommen worden. #### 26"
